id,Comm,Size,Bytes,Calls,Send_Calls,Recv_Calls,Isend_Calls,Irecv_Calls,Waitall_Calls,Wait_Calls,Waitany_Calls,Test_Calls,Testany_Calls,Sendrecv_Calls,Bcast_Calls,Barrier_Calls,Allreduce_Calls,Allgather_Calls,Allgatherv_Calls,Alltoall_Calls,Alltoallv_Calls,Reduce_Calls,Gather_Calls,Gatherv_Calls,Scan_Calls,Exscan_Calls,Scatter_Calls,Scatterv_Calls,Reduce_scatter_Calls,Iallreduce_Calls,Ibcast_Calls,Ialltoall_Calls,Iscatter_Calls,Ibarrier_Calls,Send_Bytes,Recv_Bytes,Isend_Bytes,Irecv_Bytes,Waitall_Bytes,Wait_Bytes,Waitany_Bytes,Test_Bytes,Testany_Bytes,Sendrecv_Bytes,Bcast_Bytes,Barrier_Bytes,Allreduce_Bytes,Allgather_Bytes,Allgatherv_Bytes,Alltoall_Bytes,Alltoallv_Bytes,Reduce_Bytes,Gather_Bytes,Gatherv_Bytes,Scan_Bytes,Exscan_Bytes,Scatter_Bytes,Scatterv_Bytes,Reduce_scatter_Bytes,Iallreduce_Bytes,Ibcast_Bytes,Ialltoall_Bytes,Iscatter_Bytes,Ibarrier_Bytes,Send_Time,Recv_Time,Isend_Time,Irecv_Time,Waitall_Time,Wait_Time,Waitany_Time,Test_Time,Testany_Time,Sendrecv_Time,Bcast_Time,Barrier_Time,Allreduce_Time,Allgather_Time,Allgatherv_Time,Alltoall_Time,Alltoallv_Time,Reduce_Time,Gather_Time,Gatherv_Time,Scan_Time,Exscan_Time,Scatter_Time,Scatterv_Time,Reduce_scatter_Time,Iallreduce_Time,Ibcast_Time,Ialltoall_Time,Iscatter_Time,Ibarrier_Time
1,W,64,19709659449,2580677,0,883160,1290312,407152,0,0,0,0,0,0,39,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19708194924,0,0,0,0,0,0,0,1462760,0,1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.330291,0.02318,0.187394,0,0,0,0,0,0,0.204299,0,0.172479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,W_s1.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,W_s2.0,32,136,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002967,0,0.000016,0,0,0,0,0,0.001706,0,0,0,0,0,0,0,0,0,0,0
4,W_s3.0,40,8586340890,6402593,276,276,3200960,3200960,0,0,0,0,0,0,113,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0,0,0,0,0,48620,0,8586291708,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0.000016,0.000224,0.155652,0.031399,0,0,0,0,0,4.780796,0.024916,0,0,0,0,0,0,0,0.001106,0.005577,0,0,0.003333,0.008962,0,0,0,0,0,0
5,W_s3.0_s4.0,8,8436,249,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4960,0,0,0,0,0,0,0,3476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009793,0,0,0,0,0,0,0,0.012885,0,0,0,0,0,0,0,0,0,0,0
6,W_s3.0_s5.0,5,8928,249,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4960,0,0,0,0,0,0,0,3968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045722,0,0,0,0,0,0,0,0.034207,0,0,0,0,0,0,0,0,0,0,0
7,W_s3.0_s13.0,20,2367104,2008,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183552,0,0,0,0,0,0,1183552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831093,0,0,0,0,0,0,0.358452,0,0,0,0,0,0,0,0,0,0,0,0
8,W_s3.0_s14.0,2,1183552,1004,0,0,0,0,0,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,W_s3.0_s14.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,W_s3.2,24,4807144392,1382063,681030,681030,0,0,0,0,0,0,0,0,0,0,1,0,0,20002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4702173892,0,0,0,0,0,0,0,0,0,0,0,4,0,0,104970496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241455,0.434608,0,0,0,0,0,0,0,3.692602,0,0,0.000174,0,0,3.262867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,W_s3.2_s4.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,W_s3.2_s5.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,W_s3.0_s14.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,W_s3.2_s5.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,W_s3.0_s14.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
