#'MPI LIBRARY'='Open MPI v4.0.5, package: Open MPI hunold@hydra.par.tuwien.ac.at Distribution, ident: 4.0.5, repo rev: v4.0.5, Aug 26, 2020'
#'Processes'='256'
#'Application'='lmp_mpi'
#'Arguments'=' -in in.rhodo'
#'Num of REAL comms'='10'
Comm,Size,Bytes,Calls,Send_Calls,Recv_Calls,Isend_Calls,Irecv_Calls,Waitall_Calls,Wait_Calls,Waitany_Calls,Test_Calls,Testany_Calls,Sendrecv_Calls,Bcast_Calls,Barrier_Calls,Allreduce_Calls,Allgather_Calls,Allgatherv_Calls,Alltoall_Calls,Alltoallv_Calls,Reduce_Calls,Gather_Calls,Gatherv_Calls,Scan_Calls,Exscan_Calls,Scatter_Calls,Scatterv_Calls,Reduce_scatter_Calls,Iallreduce_Calls,Ibcast_Calls,Ialltoall_Calls,Iscatter_Calls,Ibarrier_Calls,Send_Bytes,Recv_Bytes,Isend_Bytes,Irecv_Bytes,Waitall_Bytes,Wait_Bytes,Waitany_Bytes,Test_Bytes,Testany_Bytes,Sendrecv_Bytes,Bcast_Bytes,Barrier_Bytes,Allreduce_Bytes,Allgather_Bytes,Allgatherv_Bytes,Alltoall_Bytes,Alltoallv_Bytes,Reduce_Bytes,Gather_Bytes,Gatherv_Bytes,Scan_Bytes,Exscan_Bytes,Scatter_Bytes,Scatterv_Bytes,Reduce_scatter_Bytes,Iallreduce_Bytes,Ibcast_Bytes,Ialltoall_Bytes,Iscatter_Bytes,Ibarrier_Bytes,Send_Time,Recv_Time,Isend_Time,Irecv_Time,Waitall_Time,Wait_Time,Waitany_Time,Test_Time,Testany_Time,Sendrecv_Time,Bcast_Time,Barrier_Time,Allreduce_Time,Allgather_Time,Allgatherv_Time,Alltoall_Time,Alltoallv_Time,Reduce_Time,Gather_Time,Gatherv_Time,Scan_Time,Exscan_Time,Scatter_Time,Scatterv_Time,Reduce_scatter_Time,Iallreduce_Time,Ibcast_Time,Ialltoall_Time,Iscatter_Time,Ibarrier_Time
W,256,89992656281,21890119,10940928,0,0,10940928,0,0,0,0,0,0,843,6,7369,14,0,14,14,3,0,0,0,0,0,0,0,0,0,0,0,0,89982668888,0,0,0,0,0,0,0,0,0,9714933,0,255240,504,0,56,16636,24,0,0,0,0,0,0,0,0,0,0,0,0,0.233348,0.000000,0.000000,0.022241,0.000000,0.000000,0.000000,0.000000,0.000000,0.013406,0.077443,0.000000,0.309943,0.000787,0.000000,0.029712,1.545757,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
W_a1,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
W_d2,256,384384000,7687680,3843840,0,0,3843840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384384000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030906,0.000000,0.000000,0.002949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
W_d3,256,384384000,7687680,3843840,0,0,3843840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384384000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008810,0.000000,0.000000,0.003033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
W_d4,256,408408000,8168160,4084080,0,0,4084080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408408000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009904,0.000000,0.000000,0.002636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
W_d5,256,1153152000,23063040,11531520,0,0,11531520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153152000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044177,0.000000,0.000000,0.006955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
W_d6,256,1153152000,23063040,11531520,0,0,11531520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153152000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015819,0.000000,0.000000,0.006818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
W_d7,256,1220419200,12204192,6102096,0,0,6102096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220419200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022784,0.000000,0.000000,0.003598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
W_d8,256,204204000,2042040,1021020,0,0,1021020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204204000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006229,0.000000,0.000000,0.000902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
