#'MPI LIBRARY'='Open MPI v4.0.5, package: Open MPI hunold@hydra.par.tuwien.ac.at Distribution, ident: 4.0.5, repo rev: v4.0.5, Aug 26, 2020'
#'Processes'='128'
#'Application'='/home/staff/vardas/splatt/bin/splatt'
#'Arguments'=' cpd med5.tns -r 128 -t 1'
#'Num of REAL comms'='23'
Comm,Size,Calls,Send_Calls,Send_AvgMsgSize,Send_Time,Recv_Calls,Recv_AvgMsgSize,Recv_Time,Isend_Calls,Isend_AvgMsgSize,Isend_Time,Irecv_Calls,Irecv_AvgMsgSize,Irecv_Time,Waitall_Calls,Waitall_AvgMsgSize,Waitall_Time,Wait_Calls,Wait_AvgMsgSize,Wait_Time,Waitany_Calls,Waitany_AvgMsgSize,Waitany_Time,Test_Calls,Test_AvgMsgSize,Test_Time,Testany_Calls,Testany_AvgMsgSize,Testany_Time,Sendrecv_Calls,Sendrecv_AvgMsgSize,Sendrecv_Time,Bcast_Calls,Bcast_AvgMsgSize,Bcast_Time,Barrier_Calls,Barrier_AvgMsgSize,Barrier_Time,Allreduce_Calls,Allreduce_AvgMsgSize,Allreduce_Time,Allgather_Calls,Allgather_AvgMsgSize,Allgather_Time,Allgatherv_Calls,Allgatherv_AvgMsgSize,Allgatherv_Time,Alltoall_Calls,Alltoall_AvgMsgSize,Alltoall_Time,Alltoallv_Calls,Alltoallv_AvgMsgSize,Alltoallv_Time,Reduce_Calls,Reduce_AvgMsgSize,Reduce_Time,Gather_Calls,Gather_AvgMsgSize,Gather_Time,Gatherv_Calls,Gatherv_AvgMsgSize,Gatherv_Time,Scan_Calls,Scan_AvgMsgSize,Scan_Time,Exscan_Calls,Exscan_AvgMsgSize,Exscan_Time,Scatter_Calls,Scatter_AvgMsgSize,Scatter_Time,Scatterv_Calls,Scatterv_AvgMsgSize,Scatterv_Time,Reduce_scatter_Calls,Reduce_scatter_AvgMsgSize,Reduce_scatter_Time,Iallreduce_Calls,Iallreduce_AvgMsgSize,Iallreduce_Time,Ibcast_Calls,Ibcast_AvgMsgSize,Ibcast_Time,Ialltoall_Calls,Ialltoall_AvgMsgSize,Ialltoall_Time,Iscatter_Calls,Iscatter_AvgMsgSize,Iscatter_Time,Ibarrier_Calls,Ibarrier_AvgMsgSize,Ibarrier_Time
W,128,1529,762,6248.000000,0.040755,762,0.000000,0.077239,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,2,8.000000,0.050154,1,0.000000,0.000000,2,24.000000,0.089575,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1,128,10281,5080,67852.311811,11.787246,5080,0.000000,1.274187,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,1,0.000000,0.000000,93,71285.505376,0.809189,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.013986,6,0.000000,0.647956,20,8.000000,0.060365,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s2.0,16,5782,0,0.0,0.000000,2800,0.000000,0.002489,2800,10.977143,0.001732,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,158,125.164557,0.001638,2,0.000000,0.000000,4,18105.250000,0.001431,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000398,15,0.000000,0.023506,0,0.0,0.000000,1,8.000000,0.000096,0,0.0,0.000000,1,8.000000,0.000024,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s3.0,16,10535,0,0.0,0.000000,5110,0.000000,0.003746,5110,7.171820,0.002883,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,290,57.793103,0.002441,2,0.000000,0.000000,4,24182.750000,0.005491,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000706,16,0.000000,0.018255,0,0.0,0.000000,1,8.000000,0.000032,0,0.0,0.000000,1,8.000000,0.000017,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s4.0,64,34607,0,0.0,0.000000,17161,0.000000,0.013032,17161,4.388089,0.010827,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,260,27.292308,0.007562,2,0.000000,0.000000,4,3056.250000,0.004394,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000067,16,0.000000,0.048473,0,0.0,0.000000,1,8.000000,0.000020,0,0.0,0.000000,1,8.000000,0.000065,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s5.0,128,15623,0,0.0,0.000000,7770,0.000000,0.006163,7770,5.010039,0.005112,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,58,123.172414,0.003356,2,0.000000,0.000000,4,3935.000000,0.070400,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000087,16,0.000000,0.078323,0,0.0,0.000000,1,8.000000,0.000031,0,0.0,0.000000,1,8.000000,0.000131,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s6.0,128,39543,0,0.0,0.000000,19684,0.000000,0.015082,19684,4.056086,0.012711,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,150,9.280000,0.008293,2,0.000000,0.000000,4,581.000000,0.000288,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000081,16,0.000000,0.035270,0,0.0,0.000000,1,8.000000,0.000024,0,0.0,0.000000,1,8.000000,0.000128,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s4.1,64,202511,0,0.0,0.000000,100477,0.000000,0.074203,100477,4.445276,0.061736,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,1532,30.417755,0.042719,2,0.000000,0.000000,4,72060.250000,0.005311,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000072,16,0.000000,0.058650,0,0.0,0.000000,1,8.000000,0.000042,0,0.0,0.000000,1,8.000000,0.000057,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s3.2,16,6863,0,0.0,0.000000,3325,0.000000,0.002546,3325,7.321504,0.001910,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,188,58.170213,0.001731,2,0.000000,0.000000,4,29243.000000,0.005535,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000708,16,0.000000,0.020662,0,0.0,0.000000,1,8.000000,0.000033,0,0.0,0.000000,1,8.000000,0.000017,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s3.4,16,15647,0,0.0,0.000000,7595,0.000000,0.005697,7595,5.073864,0.004296,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,432,20.851852,0.003660,2,0.000000,0.000000,4,34472.250000,0.005593,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000700,16,0.000000,0.019317,0,0.0,0.000000,1,8.000000,0.000018,0,0.0,0.000000,1,8.000000,0.000017,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
