#'MPI LIBRARY'='Open MPI v4.0.5, package: Open MPI hunold@hydra.par.tuwien.ac.at Distribution, ident: 4.0.5, repo rev: v4.0.5, Aug 26, 2020'
#'Processes'='128'
#'Application'='/home/staff/vardas/splatt/bin/splatt'
#'Arguments'=' cpd med5.tns -r 128 -t 1'
#'Num of REAL comms'='23'
Comm,Size,Calls,Send_Calls,Send_AvgMsgSize,Send_Time,Recv_Calls,Recv_AvgMsgSize,Recv_Time,Isend_Calls,Isend_AvgMsgSize,Isend_Time,Irecv_Calls,Irecv_AvgMsgSize,Irecv_Time,Waitall_Calls,Waitall_AvgMsgSize,Waitall_Time,Wait_Calls,Wait_AvgMsgSize,Wait_Time,Waitany_Calls,Waitany_AvgMsgSize,Waitany_Time,Test_Calls,Test_AvgMsgSize,Test_Time,Testany_Calls,Testany_AvgMsgSize,Testany_Time,Sendrecv_Calls,Sendrecv_AvgMsgSize,Sendrecv_Time,Bcast_Calls,Bcast_AvgMsgSize,Bcast_Time,Barrier_Calls,Barrier_AvgMsgSize,Barrier_Time,Allreduce_Calls,Allreduce_AvgMsgSize,Allreduce_Time,Allgather_Calls,Allgather_AvgMsgSize,Allgather_Time,Allgatherv_Calls,Allgatherv_AvgMsgSize,Allgatherv_Time,Alltoall_Calls,Alltoall_AvgMsgSize,Alltoall_Time,Alltoallv_Calls,Alltoallv_AvgMsgSize,Alltoallv_Time,Reduce_Calls,Reduce_AvgMsgSize,Reduce_Time,Gather_Calls,Gather_AvgMsgSize,Gather_Time,Gatherv_Calls,Gatherv_AvgMsgSize,Gatherv_Time,Scan_Calls,Scan_AvgMsgSize,Scan_Time,Exscan_Calls,Exscan_AvgMsgSize,Exscan_Time,Scatter_Calls,Scatter_AvgMsgSize,Scatter_Time,Scatterv_Calls,Scatterv_AvgMsgSize,Scatterv_Time,Reduce_scatter_Calls,Reduce_scatter_AvgMsgSize,Reduce_scatter_Time,Iallreduce_Calls,Iallreduce_AvgMsgSize,Iallreduce_Time,Ibcast_Calls,Ibcast_AvgMsgSize,Ibcast_Time,Ialltoall_Calls,Ialltoall_AvgMsgSize,Ialltoall_Time,Iscatter_Calls,Iscatter_AvgMsgSize,Iscatter_Time,Ibarrier_Calls,Ibarrier_AvgMsgSize,Ibarrier_Time
W,128,1529,762,6248.000000,0.040032,762,0.000000,0.076628,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,2,8.000000,0.050565,1,0.000000,0.000000,2,24.000000,0.088807,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1,128,10281,5080,67852.311811,11.824261,5080,0.000000,1.273262,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,1,0.000000,0.000000,93,71285.505376,0.747354,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.014584,6,0.000000,0.636609,20,8.000000,0.060386,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s2.0,16,5782,0,0.0,0.000000,2800,0.000000,0.002567,2800,10.977143,0.001728,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,158,125.164557,0.001628,2,0.000000,0.000000,4,18105.250000,0.001099,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000380,15,0.000000,0.025355,0,0.0,0.000000,1,8.000000,0.000035,0,0.0,0.000000,1,8.000000,0.000026,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s3.0,16,10535,0,0.0,0.000000,5110,0.000000,0.003780,5110,7.171820,0.002910,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,290,57.793103,0.002472,2,0.000000,0.000000,4,24182.750000,0.005749,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000651,16,0.000000,0.017485,0,0.0,0.000000,1,8.000000,0.000019,0,0.0,0.000000,1,8.000000,0.000018,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s4.0,64,34607,0,0.0,0.000000,17161,0.000000,0.013508,17161,4.388089,0.010907,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,260,27.292308,0.007635,2,0.000000,0.000000,4,3056.250000,0.004118,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000069,16,0.000000,0.048633,0,0.0,0.000000,1,8.000000,0.000021,0,0.0,0.000000,1,8.000000,0.000070,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s5.0,128,15623,0,0.0,0.000000,7770,0.000000,0.006242,7770,5.010039,0.005178,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,58,123.172414,0.003413,2,0.000000,0.000000,4,3935.000000,0.072427,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000113,16,0.000000,0.079681,0,0.0,0.000000,1,8.000000,0.000072,0,0.0,0.000000,1,8.000000,0.000136,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s6.0,128,39543,0,0.0,0.000000,19684,0.000000,0.015474,19684,4.056086,0.012930,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,150,9.280000,0.008461,2,0.000000,0.000000,4,581.000000,0.000307,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000085,16,0.000000,0.034676,0,0.0,0.000000,1,8.000000,0.000030,0,0.0,0.000000,1,8.000000,0.000135,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s4.1,64,202511,0,0.0,0.000000,100477,0.000000,0.075932,100477,4.445276,0.062249,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,1532,30.417755,0.043704,2,0.000000,0.000000,4,72060.250000,0.005377,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000073,16,0.000000,0.056557,0,0.0,0.000000,1,8.000000,0.000048,0,0.0,0.000000,1,8.000000,0.000063,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s3.2,16,6863,0,0.0,0.000000,3325,0.000000,0.002622,3325,7.321504,0.001930,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,188,58.170213,0.001802,2,0.000000,0.000000,4,29243.000000,0.006028,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000651,16,0.000000,0.018528,0,0.0,0.000000,1,8.000000,0.000032,0,0.0,0.000000,1,8.000000,0.000018,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s3.4,16,15647,0,0.0,0.000000,7595,0.000000,0.005813,7595,5.073864,0.004329,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,432,20.851852,0.003743,2,0.000000,0.000000,4,34472.250000,0.005794,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000648,16,0.000000,0.020319,0,0.0,0.000000,1,8.000000,0.000018,0,0.0,0.000000,1,8.000000,0.000018,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s3.6,16,10031,0,0.0,0.000000,4865,0.000000,0.003664,4865,5.493936,0.002743,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,276,28.000000,0.002387,2,0.000000,0.000000,4,35288.000000,0.005842,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000652,16,0.000000,0.018551,0,0.0,0.000000,1,8.000000,0.000026,0,0.0,0.000000,1,8.000000,0.000019,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s3.8,16,13343,0,0.0,0.000000,6475,0.000000,0.004979,6475,4.951969,0.003703,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,368,18.717391,0.003150,2,0.000000,0.000000,4,36464.500000,0.005912,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000660,16,0.000000,0.022061,0,0.0,0.000000,1,8.000000,0.000035,0,0.0,0.000000,1,8.000000,0.000019,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s3.10,16,13487,0,0.0,0.000000,6545,0.000000,0.005043,6545,4.729106,0.003670,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,372,14.795699,0.003023,2,0.000000,0.000000,4,37403.750000,0.006007,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000666,16,0.000000,0.029847,0,0.0,0.000000,1,8.000000,0.000056,0,0.0,0.000000,1,8.000000,0.000019,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s3.12,16,11975,0,0.0,0.000000,5810,0.000000,0.004374,5810,4.790361,0.003259,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,330,15.878788,0.002767,2,0.000000,0.000000,4,37673.500000,0.005894,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000666,16,0.000000,0.020370,0,0.0,0.000000,1,8.000000,0.000027,0,0.0,0.000000,1,8.000000,0.000017,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s3.14,16,12551,0,0.0,0.000000,6090,0.000000,0.004662,6090,4.676519,0.003465,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,346,13.872832,0.002966,2,0.000000,0.000000,4,37962.750000,0.005898,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000667,16,0.000000,0.035505,0,0.0,0.000000,1,8.000000,0.000018,0,0.0,0.000000,1,8.000000,0.000018,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s2.16,16,11110,0,0.0,0.000000,5390,0.000000,0.004788,5390,7.851577,0.003358,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,306,69.411765,0.002991,2,0.000000,0.000000,4,21287.000000,0.000994,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000332,15,0.000000,0.021821,0,0.0,0.000000,1,8.000000,0.000086,0,0.0,0.000000,1,8.000000,0.000026,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s2.32,16,14278,0,0.0,0.000000,6930,0.000000,0.005980,6930,6.887157,0.004303,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,394,52.568528,0.003726,2,0.000000,0.000000,4,23305.250000,0.000730,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000275,15,0.000000,0.022814,0,0.0,0.000000,1,8.000000,0.000047,0,0.0,0.000000,1,8.000000,0.000021,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s2.48,16,14638,0,0.0,0.000000,7105,0.000000,0.006085,7105,6.753554,0.004374,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,404,50.396040,0.003750,2,0.000000,0.000000,4,24618.250000,0.000692,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000231,15,0.000000,0.017705,0,0.0,0.000000,1,8.000000,0.000038,0,0.0,0.000000,1,8.000000,0.000028,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s2.64,16,14854,0,0.0,0.000000,7210,0.000000,0.006462,7210,6.424411,0.004451,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,410,44.604878,0.004028,2,0.000000,0.000000,4,25801.250000,0.000924,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000317,15,0.000000,0.019013,0,0.0,0.000000,1,8.000000,0.000057,0,0.0,0.000000,1,8.000000,0.000026,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
W_a1_s2.80,16,16726,0,0.0,0.000000,8120,0.000000,0.006886,8120,6.007882,0.005111,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,462,37.264069,0.004416,2,0.000000,0.000000,4,27029.750000,0.000865,0,0.0,0.000000,0,0.0,0.000000,1,4.000000,0.000327,15,0.000000,0.017977,0,0.0,0.000000,1,8.000000,0.000031,0,0.0,0.000000,1,8.000000,0.000022,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000,0,0.0,0.000000
